10.0,81.9,1.0,2.9,-1037.4,155.61,38.5,3947434550.0,430.0,680.0,0.0,256.0,1.0
10.0,81.9,1.0,2.9,58.93051,58.827396,39.312303,3947434652.0,430.0,680.0,32.110178,256.0,3.0
10.0,81.9,1.0,2.9,58.207193,58.768966,43.093096,3947434754.0,430.0,680.0,32.424176,256.0,3.0
10.0,81.9,1.0,2.9,56.394104,57.2398,38.715704,3947434856.0,430.0,680.0,41.627711,256.0,3.0
10.0,81.9,1.0,2.9,61.897989,62.229521,38.498274,3947434958.0,430.0,680.0,39.653742,256.0,3.0
10.0,81.9,1.0,2.9,59.332309,59.667061,39.855642,3947435060.0,430.0,680.0,35.440534,256.0,3.0
10.0,81.9,1.0,2.9,57.316556,56.477728,41.076179,3947435162.0,430.0,680.0,28.516366,256.0,3.0
10.0,81.9,1.0,2.9,62.075117,62.324708,42.606484,3947435264.0,450.0,700.0,41.890627,256.0,3.0
10.0,81.9,1.0,2.9,64.13367,64.75381,38.736009,3947435366.0,430.0,680.0,39.699413,256.0,3.0
10.0,81.9,1.0,2.9,65.501471,64.869344,40.964335,3947435468.0,430.0,680.0,36.766119,256.0,3.0
10.0,81.9,1.0,2.9,3.862344,3.849779,39.694533,3947436182.0,430.0,700.0,10.624414,256.0,613.0
10.0,81.9,1.0,2.9,66.123586,66.680965,39.562189,3947436284.0,430.0,700.0,35.967483,256.0,3.0
